title,module,filename,source_url,downloaded,notes
PeopleXD Payroll user guides,People Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12843859-peoplexd-payroll-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,People Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD Recruitment user guides,People Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12859644-peoplexd-recruitment-user-guides,no,guide: no PDF link
PeopleXD Talent user guides,People Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12859690-peoplexd-talent-user-guides,no,guide: no PDF link
PeopleXD Workforce Management user guides,People Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12867325-peoplexd-workforce-management-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,Payroll,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD People Management user guides,Payroll,,https://help-peoplexd.theaccessgroup.com/en/articles/12857001-peoplexd-people-management-user-guides,no,guide: no PDF link
PeopleXD Workforce Management user guides,Payroll,,https://help-peoplexd.theaccessgroup.com/en/articles/12867325-peoplexd-workforce-management-user-guides,no,guide: no PDF link
PeopleXD Pension user guides,Payroll,,https://help-peoplexd.theaccessgroup.com/en/articles/12953173-peoplexd-pension-user-guides,no,guide: no PDF link
PeopleXD Expense user guides,Payroll,,https://help-peoplexd.theaccessgroup.com/en/articles/12953371-peoplexd-expense-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD People Analytics and Evo user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12856949-peoplexd-people-analytics-and-evo-user-guides,no,guide: no PDF link
PeopleXD People Management user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12857001-peoplexd-people-management-user-guides,no,guide: no PDF link
PeopleXD Recruitment user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12859644-peoplexd-recruitment-user-guides,no,guide: no PDF link
PeopleXD Talent user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12859690-peoplexd-talent-user-guides,no,guide: no PDF link
PeopleXD Payroll user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12843859-peoplexd-payroll-user-guides,no,guide: no PDF link
PeopleXD cross-product user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12856528-peoplexd-cross-product-user-guides,no,guide: no PDF link
PeopleXD People Management user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12857001-peoplexd-people-management-user-guides,no,guide: no PDF link
PeopleXD Recruitment user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12859644-peoplexd-recruitment-user-guides,no,guide: no PDF link
PeopleXD Talent user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12859690-peoplexd-talent-user-guides,no,guide: no PDF link
PeopleXD Payroll user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12843859-peoplexd-payroll-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD Workforce Management user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12867325-peoplexd-workforce-management-user-guides,no,guide: no PDF link
PeopleXD Pension user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12953173-peoplexd-pension-user-guides,no,guide: no PDF link
PeopleXD Expense user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12953371-peoplexd-expense-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD People Management user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12857001-peoplexd-people-management-user-guides,no,guide: no PDF link
PeopleXD Recruitment user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12859644-peoplexd-recruitment-user-guides,no,guide: no PDF link
PeopleXD Pension user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12953173-peoplexd-pension-user-guides,no,guide: no PDF link
PeopleXD Expense user guides,Cross-module,,https://help-peoplexd.theaccessgroup.com/en/articles/12953371-peoplexd-expense-user-guides,no,guide: no PDF link
PeopleXD Payroll user guides,Recruitment,,https://help-peoplexd.theaccessgroup.com/en/articles/12843859-peoplexd-payroll-user-guides,no,guide: no PDF link
PeopleXD cross-product user guides,Recruitment,,https://help-peoplexd.theaccessgroup.com/en/articles/12856528-peoplexd-cross-product-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,Recruitment,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD People Management user guides,Recruitment,,https://help-peoplexd.theaccessgroup.com/en/articles/12857001-peoplexd-people-management-user-guides,no,guide: no PDF link
PeopleXD Talent user guides,Recruitment,,https://help-peoplexd.theaccessgroup.com/en/articles/12859690-peoplexd-talent-user-guides,no,guide: no PDF link
PeopleXD Payroll user guides,Talent,,https://help-peoplexd.theaccessgroup.com/en/articles/12843859-peoplexd-payroll-user-guides,no,guide: no PDF link
PeopleXD Insight user guides,Talent,,https://help-peoplexd.theaccessgroup.com/en/articles/12856633-peoplexd-insight-user-guides,no,guide: no PDF link
PeopleXD Recruitment user guides,Talent,,https://help-peoplexd.theaccessgroup.com/en/articles/12859644-peoplexd-recruitment-user-guides,no,guide: no PDF link
PeopleXD Pension user guides,Talent,,https://help-peoplexd.theaccessgroup.com/en/articles/12953173-peoplexd-pension-user-guides,no,guide: no PDF link
PeopleXD Expense user guides,Talent,,https://help-peoplexd.theaccessgroup.com/en/articles/12953371-peoplexd-expense-user-guides,no,guide: no PDF link
PeopleXD Payroll user guides,Workforce Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12843859-peoplexd-payroll-user-guides,no,guide: no PDF link
PeopleXD People Management user guides,Workforce Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12857001-peoplexd-people-management-user-guides,no,guide: no PDF link
PeopleXD Recruitment user guides,Workforce Management,,https://help-peoplexd.theaccessgroup.com/en/articles/12859644-peoplexd-recruitment-user-guides,no,guide: no PDF link
